nohup: ignoring input
2
Namespace(Layers=2, alpha=0.5, batch=4096, dataset='CiaoDVD', decay=0.97, epochs=100, gcn_act='prelu', graphSampleSeed=5000, hide_dim=32, layer_dim='[32]', lr=0.055, metareg=0.15, minlr=0.0001, patience=5, permute=1, rank=3, reg=0.043, seed=3, ssl_beta=0.32, ssl_iSamp=512, ssl_ineg=0.045, ssl_ireg=0.05, ssl_reg=0.02, ssl_temp=0.5, ssl_uSamp=512, ssl_uneg=0.045, ssl_ureg=0.04, tau_inst=6, topk=20, wi1=0.8, wi2=0.2, wu1=0.8, wu2=0.2)
ModelName = SR-HAN_CiaoDVD_1712843271_hide_dim_32_lr_0.055_reg_0.043_topK_20-ssl_ureg_0.04-ssl_ireg_0.05
0.5084 	 0.8756565656565658 	 0.50871864 	 0.504	0.49 	 0.2722581618652165	0.1100	0.0800	0.0767	0.0750	0.0680	0.0490	0.0400
0.5046 	 0.8846464646464645 	 0.5075602 	 0.5071	0.6 	 0.3489989065607865	0.1500	0.1350	0.1033	0.0950	0.0880	0.0600	0.0380
0.5074 	 0.8774747474747475 	 0.5096849999999999 	 0.506	0.63 	 0.3724748986471335	0.1800	0.1350	0.1133	0.1000	0.0840	0.0630	0.0370
0.511 	 0.8876767676767677 	 0.51321504 	 0.5103	0.65 	 0.37355365587436135	0.1600	0.1250	0.1133	0.1025	0.0920	0.0650	0.0400
0.5096 	 0.8814141414141414 	 0.5160884800000001 	 0.5124	0.68 	 0.3607532048153182	0.1200	0.1250	0.0967	0.0900	0.0860	0.0680	0.0400
0.5078 	 0.8668686868686868 	 0.51528868 	 0.5098	0.62 	 0.3700762806985371	0.1800	0.1400	0.1100	0.0950	0.0860	0.0620	0.0380
0.5108 	 0.8657575757575757 	 0.51250806 	 0.5105	0.62 	 0.3423106262350245	0.1300	0.1200	0.1000	0.0950	0.0820	0.0620	0.0390
0.5036 	 0.8654545454545455 	 0.51212284 	 0.5125	0.67 	 0.3673657859853994	0.1600	0.1000	0.1000	0.0925	0.0900	0.0670	0.0385
0.5066 	 0.8582828282828281 	 0.51069902 	 0.5121	0.61 	 0.3459805197707764	0.1400	0.1250	0.1033	0.0925	0.0800	0.0610	0.0380
0.5024 	 0.8482828282828282 	 0.509611 	 0.515	0.62 	 0.36153335724714475	0.1700	0.1300	0.1100	0.0950	0.0820	0.0620	0.0370
0.5056 	 0.8382828282828282 	 0.51100678 	 0.5106	0.57 	 0.32884092069771015	0.1400	0.1000	0.1067	0.0950	0.0860	0.0570	0.0380
0.5132 	 0.8343434343434343 	 0.5128165600000001 	 0.5094	0.58 	 0.32103321224256365	0.0900	0.1250	0.1100	0.0975	0.0840	0.0580	0.0360
