/home/cn/anaconda3/envs/HGCL/bin/python3 /home/cn/lfy/HGCL-main/main.py --dataset Yelp --ssl_temp 0.5 --ssl_ureg 0.06 --ssl_ireg 0.07 --lr 0.058 --reg 0.05 --ssl_beta 0.45 --rank 3
2
Namespace(Layers=2, alpha=0.5, batch=8192, dataset='city', decay=0.97, epochs=100, gcn_act='prelu', graphSampleSeed=5000, hide_dim=32, layer_dim='[32]', lr=0.058, metareg=0.15, minlr=0.0001, patience=5, permute=1, rank=3, reg=0.05, seed=1234, ssl_beta=0.45, ssl_iSamp=512, ssl_ineg=0.045, ssl_ireg=0.07, ssl_reg=0.02, ssl_temp=0.5, ssl_uSamp=512, ssl_uneg=0.045, ssl_ureg=0.06, tau_inst=6, topk=20, wi1=0.8, wi2=0.2, wu1=0.8, wu2=0.2)
ModelName = SR-HAN_city_1713096097_hide_dim_32_lr_0.058_reg_0.05_topK_20-ssl_ureg_0.06-ssl_ireg_0.07
0.62 	 0.40511995018896	0.2500	0.1550	0.1133	0.1025	0.0960	0.0620	0.0360
0.62 	 0.4067569683766037	0.2500	0.1550	0.1233	0.1025	0.0960	0.0620	0.0375
0.62 	 0.3986544811970921	0.2300	0.1550	0.1200	0.1000	0.0980	0.0620	0.0385
0.61 	 0.3893431424393802	0.2200	0.1350	0.1167	0.1125	0.0980	0.0610	0.0380
0.61 	 0.4028922848215378	0.2500	0.1500	0.1167	0.1100	0.1000	0.0610	0.0380
0.61 	 0.3873288716156762	0.2100	0.1350	0.1233	0.1175	0.1020	0.0610	0.0375
0.6 	 0.40061098505059606	0.2500	0.1500	0.1133	0.1150	0.1020	0.0600	0.0375
0.61 	 0.3789364061568562	0.1900	0.1300	0.1300	0.1125	0.0960	0.0610	0.0385
0.6 	 0.39290428944397576	0.2200	0.1500	0.1267	0.1050	0.1040	0.0600	0.0385
0.6 	 0.4192037720733702	0.2700	0.1700	0.1300	0.1200	0.1020	0.0600	0.0395
0.6 	 0.40394663371525924	0.2400	0.1650	0.1300	0.1125	0.1020	0.0600	0.0385
0.61 	 0.38626066542388515	0.2100	0.1400	0.1233	0.1100	0.0960	0.0610	0.0395
0.58 	 0.3599773865478315	0.1800	0.1250	0.1167	0.1050	0.0960	0.0580	0.0375
0.62 	 0.3838686446700377	0.1900	0.1400	0.1200	0.1200	0.1020	0.0620	0.0380
0.6 	 0.3759385829539212	0.1800	0.1400	0.1267	0.1175	0.1000	0.0600	0.0380
0.6 	 0.38232698440520285	0.2100	0.1300	0.1233	0.1150	0.0980	0.0600	0.0385
0.59 	 0.380917737327621	0.2200	0.1350	0.1133	0.1050	0.0980	0.0590	0.0380
0.59 	 0.3767316334292334	0.2000	0.1300	0.1233	0.1150	0.1020	0.0590	0.0380
0.6 	 0.39152354819160984	0.2400	0.1400	0.1133	0.1025	0.0920	0.0600	0.0390
0.62 	 0.40140657549047676	0.2300	0.1500	0.1300	0.1100	0.0980	0.0620	0.0385
0.6 	 0.38938245663884624	0.2200	0.1400	0.1233	0.1150	0.0980	0.0600	0.0390
0.6 	 0.3929748545928509	0.2300	0.1450	0.1200	0.1100	0.1000	0.0600	0.0395
0.62 	 0.3809260544222186	0.2100	0.1200	0.1133	0.1050	0.0940	0.0620	0.0390
0.6 	 0.3804531105243967	0.2100	0.1350	0.1167	0.1100	0.0940	0.0600	0.0395
0.59 	 0.37667433673622236	0.2200	0.1350	0.1067	0.1000	0.0940	0.0590	0.0390
0.6 	 0.38673189783675965	0.2200	0.1350	0.1233	0.1150	0.0980	0.0600	0.0380
0.6 	 0.37989374033427226	0.2100	0.1350	0.1167	0.1100	0.0960	0.0600	0.0390
0.6 	 0.38955354292863825	0.2300	0.1400	0.1167	0.1100	0.0960	0.0600	0.0395
0.59 	 0.37382592456592456	0.2000	0.1400	0.1100	0.1125	0.0980	0.0590	0.0390
